SatPRN (ID),GPS time,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
G02,2024-04-13 16:51:55.417345280+00:00,14581413.66401039,-5189219.353341901,22047321.948700216,22802506.344564095,47.5
G03,2024-04-13 16:51:55.417345280+00:00,23181419.6569339,-12113966.930302752,4071569.817928489,24141785.27077406,45.5
G08,2024-04-13 16:51:55.417345280+00:00,24923508.04475841,4707097.4838766605,8473334.232426688,21172692.03270963,50.3
G10,2024-04-13 16:51:55.417345280+00:00,-1370344.9688593587,17173312.639101215,20327568.658394746,22792774.755484518,38.3
G21,2024-04-13 16:51:55.417345280+00:00,15707671.08102598,1586362.6240388495,21906088.744753662,21739380.063047193,46.4
G27,2024-04-13 16:51:55.417345280+00:00,23143805.162453923,13294799.440513212,-2652469.081292551,22147227.415707197,45.3
G28,2024-04-13 16:51:55.417345280+00:00,5195964.7429001145,25768618.718896512,-3826077.169532235,23810762.857806507,39.8
G32,2024-04-13 16:51:55.417345280+00:00,8054802.9601168325,17948525.32710052,18147724.75069895,21264314.12856006,44.0
