,Latitude,Longitude,Altitude
0,32.16879873391326,34.813661167085144,38.13702099211514
1,32.168808713925614,34.81363680491583,46.073195778764784
2,32.16878423357212,34.81367361654554,36.12870711367577
3,32.16880189009192,34.81365696589448,36.79475735779852
4,32.16882878282278,34.813647571140024,42.1046663466841
5,32.16882545557259,34.81369358165829,30.228635436855257
6,32.1755685905915,34.82039880900152,-898.8470317013562
7,32.17555808619554,34.82042781761694,-892.4887223653495
8,32.17554512572486,34.82042957974946,-883.7070389287546
9,32.175552604956756,34.82044827900682,-894.041033597663
10,32.1688023660437,34.81359573538968,53.550571639090776
11,32.168758999609864,34.81360423447877,47.85215170867741
12,32.16885188434751,34.813627662383766,45.345525374636054
13,32.16881797285057,34.81362496259513,52.27184543013573
14,32.16876031858194,34.813625971585765,56.29643546976149
15,32.17554320894314,34.82041638631177,-878.9386798832566
16,32.17555049138419,34.82044246651868,-886.5018696319312
17,32.17551772433521,34.82048000002308,-887.305856234394
18,32.16878228135999,34.81363855119059,52.369702748954296
19,32.168834431434995,34.81365247675336,53.53595885168761
